Year,ID,days.to.hatch,Avg.incu.temp,hdate,hatch_DATE_noYear
2013,2084,21,5.187948586,99,9-Apr
2013,2085,21,5.132208886,114,24-Apr
2013,2086,21,5.150797469,109,19-Apr
2009,209,24,4.507858117,112,22-Apr
2009,210,24,4.512094387,106,16-Apr
2009,211,24,4.521665473,122,2-May
2009,212,24,4.51349602,118,28-Apr
2015,2126,16,6.540627985,98,8-Apr
2015,2127,16,6.687229604,85,26-Mar
2015,2128,16,6.522925669,99,9-Apr
2015,2129,17,6.281279571,114,24-Apr
2009,213,24,4.507814528,111,21-Apr
2014,2130,19,5.766616281,79,20-Mar
2014,2131,19,5.574322692,93,3-Apr
2014,2132,18,5.85943185,68,9-Mar
2014,2133,18,5.85943185,68,9-Mar
2014,2134,19,5.815591473,74,15-Mar
2014,2135,20,5.444821148,102,12-Apr
2014,2137,19,5.574322692,93,3-Apr
2014,2138,19,5.815591473,74,15-Mar
2014,2139,19,5.79726104,76,17-Mar
2009,214,24,4.513933936,105,15-Apr
2014,2140,19,5.766616281,79,20-Mar
2014,2141,19,5.777273311,78,19-Mar
2014,2142,19,5.620848916,90,31-Mar
2014,2143,19,5.706501283,84,25-Mar
2014,2144,18,5.879982746,65,6-Mar
2014,2145,19,5.806622739,75,16-Mar
2014,2146,19,5.719424105,83,24-Mar
2014,2147,19,5.766616281,79,20-Mar
2014,2148,18,5.85943185,68,9-Mar
2014,2149,19,5.719424105,83,24-Mar
2009,215,24,4.508591867,109,19-Apr
2014,2150,20,5.459112529,101,11-Apr
2014,2151,19,5.542809867,95,5-Apr
2014,2152,19,5.679394252,86,27-Mar
2014,2153,19,5.806622739,75,16-Mar
2014,2154,18,5.828867963,72,13-Mar
2014,2155,20,5.370538591,108,18-Apr
2014,2156,19,5.806622739,75,16-Mar
2014,2157,18,5.852184173,69,10-Mar
2014,2158,18,5.879982746,65,6-Mar
2014,2159,19,5.777273311,78,19-Mar
2009,216,24,4.507814528,111,21-Apr
2014,2160,19,5.620848916,90,31-Mar
2014,2161,19,5.620848916,90,31-Mar
2014,2162,19,5.719424105,83,24-Mar
2014,2163,19,5.665254033,87,28-Mar
2014,2164,19,5.787483845,77,18-Mar
2014,2165,19,5.693151448,85,26-Mar
2014,2166,19,5.74393354,81,22-Mar
2014,2167,20,5.519475112,97,7-Apr
2014,2168,20,5.504028573,98,8-Apr
2009,217,24,4.51349602,118,28-Apr
2009,218,24,4.508175053,113,23-Apr
2009,219,24,4.512094387,106,16-Apr
2009,220,24,4.521665473,122,2-May
2009,221,24,4.521665473,122,2-May
2009,222,24,4.511966707,117,27-Apr
2009,223,24,4.508055325,110,20-Apr
2016,2232,17,6.489545452,82,23-Mar
2016,2233,16,6.553472636,69,10-Mar
2016,2234,16,6.502232171,75,16-Mar
2016,2235,16,6.571229945,92,2-Apr
2016,2236,16,6.533193156,71,12-Mar
2016,2237,17,6.491876466,83,24-Mar
2016,2238,17,6.489919934,79,20-Mar
2016,2239,16,6.51594375,73,14-Mar
2009,224,24,4.508055325,110,20-Apr
2016,2240,17,6.489919934,79,20-Mar
2016,2241,16,6.51594375,73,14-Mar
2016,2242,16,6.534957343,89,30-Mar
2016,2243,16,6.533193156,71,12-Mar
2016,2244,16,6.601090811,65,6-Mar
2016,2245,16,6.542985871,70,11-Mar
2016,2246,16,6.668618842,60,1-Mar
2016,2247,16,6.553472636,69,10-Mar
2016,2248,16,6.564589981,68,9-Mar
2016,2249,17,6.488581881,80,21-Mar
2009,225,24,4.517187409,120,30-Apr
2016,2250,16,6.534957343,89,30-Mar
2016,2251,16,6.630492644,96,6-Apr
2016,2252,16,6.668618842,60,1-Mar
2016,2253,17,6.496095726,77,18-Mar
2016,2254,17,6.492436837,78,19-Mar
2016,2255,16,6.533193156,71,12-Mar
2009,226,24,4.510660359,116,26-Apr
2009,227,24,4.508055325,110,20-Apr
2009,228,24,4.508175053,113,23-Apr
2017,2286,18,6.03975492,72,13-Mar
2017,2287,19,5.587206066,88,29-Mar
2017,2288,18,5.866598259,79,20-Mar
2017,2289,18,6.03975492,72,13-Mar
2009,229,24,4.510660359,116,26-Apr
2017,2290,17,6.203000347,63,4-Mar
2017,2291,19,5.623290007,87,28-Mar
2017,2292,18,5.807815944,81,22-Mar
2017,2293,19,5.726553553,84,25-Mar
2017,2294,18,6.017781154,73,14-Mar
2017,2295,19,5.513058079,90,31-Mar
2017,2296,18,5.807815944,81,22-Mar
2016,2297,16,6.542985871,70,11-Mar
2016,2298,17,6.496095726,77,18-Mar
2016,2299,16,6.502232171,75,16-Mar
2009,230,24,4.517187409,120,30-Apr
2016,2300,17,6.489545452,82,23-Mar
2016,2301,16,6.501333039,85,26-Mar
2016,2302,16,6.502232171,75,16-Mar
2016,2303,17,6.488450678,81,22-Mar
2016,2304,16,6.501333039,85,26-Mar
2016,2305,16,6.501333039,85,26-Mar
2016,2306,16,6.534957343,89,30-Mar
2015,2307,16,6.540627985,98,8-Apr
2015,2308,16,6.619728873,93,3-Apr
2015,2309,16,6.66501295,89,30-Mar
2009,231,24,4.524179334,123,3-May
2015,2310,16,6.655636734,90,31-Mar
2015,2311,16,6.557851963,97,7-Apr
2017,2312,19,5.693034551,85,26-Mar
2017,2313,18,5.946672477,76,17-Mar
