Year,ID,SL_mm,cap_DATE_noyr,cap_doy_corr,Final.Age,Yearf
2016,2244,65,15-Jul,197,132,2016
2016,2249,63,15-Jul,197,117,2016
2016,2250,62,15-Jul,197,108,2016
2016,2251,57,15-Jul,197,101,2016
2016,2252,75,15-Jul,197,137,2016
2017,2287,54,15-Jul,196,108,2017
2017,2288,67,15-Jul,196,117,2017
2017,2290,71,15-Jul,196,133,2017
2017,2291,64,15-Jul,196,109,2017
2017,2292,61,15-Jul,196,115,2017
2017,2294,58,15-Jul,196,123,2017
2017,2295,58,15-Jul,196,106,2017
2017,2296,57,15-Jul,196,115,2017
2016,2299,65,13-Jul,195,120,2016
2016,2301,52,13-Jul,195,110,2016
2016,2302,57,13-Jul,195,120,2016
2015,2307,48,14-Jul,195,97,2015
2015,2308,53,14-Jul,195,102,2015
2015,2309,47,14-Jul,195,106,2015
2015,2310,53,15-Jul,196,106,2015
2015,2311,46,15-Jul,196,99,2015
2017,2313,57,15-Jul,196,120,2017
2017,2314,55,15-Jul,196,119,2017
2017,2315,63,15-Jul,196,123,2017
2017,2317,85,15-Jul,196,143,2017
2017,2318,87,15-Jul,196,144,2017
2017,2319,60,15-Jul,196,108,2017
2017,2321,59,15-Jul,196,117,2017
2017,2322,65,15-Jul,196,126,2017
2017,2323,65,15-Jul,196,104,2017
2017,2324,40,15-Jul,196,99,2017
2017,2325,35,15-Jul,196,95,2017
2017,2326,64,15-Jul,196,106,2017
2017,2327,64,15-Jul,196,121,2017
2017,2330,47,15-Jul,196,89,2017
2017,2331,58,15-Jul,196,102,2017
2017,2332,62,15-Jul,196,103,2017
2016,2335,68,17-Jul,199,132,2016
2016,2337,62,17-Jul,199,128,2016
2016,2338,61,17-Jul,199,127,2016
2016,2342,60,17-Jul,199,115,2016
2016,2344,62,17-Jul,199,138,2016
2016,2345,57,15-Jul,197,109,2016
2016,2347,67,15-Jul,197,104,2016
2019,2380,53,13-Jul,194,110,2019
2019,2383,43,13-Jul,194,95,2019
2019,2384,63,13-Jul,194,123,2019
2019,2385,44,13-Jul,194,111,2019
2019,2387,50,13-Jul,194,109,2019
2019,2388,54,13-Jul,194,111,2019
2019,2389,56,13-Jul,194,135,2019
2019,2390,45,13-Jul,194,106,2019
2019,2392,45,13-Jul,194,103,2019
2019,2393,47,13-Jul,194,111,2019
2019,2394,38,13-Jul,194,94,2019
2019,2396,48,13-Jul,194,111,2019
2019,2398,42,13-Jul,194,103,2019
2019,2399,45,13-Jul,194,107,2019
2019,2401,51,13-Jul,194,120,2019
2019,2402,49,13-Jul,194,114,2019
2019,2404,60,13-Jul,194,128,2019
2019,2405,55,13-Jul,194,114,2019
2019,2407,56,13-Jul,194,114,2019
2019,2408,47,13-Jul,194,98,2019
2007,749,45,21-Jul,202,101,2007
2007,754,45,21-Jul,202,101,2007
2007,755,45,21-Jul,202,101,2007
2009,208,29,19-Jul,200,73,2009
2009,209,39,19-Jul,200,88,2009
2009,210,43,19-Jul,200,94,2009
2009,211,32,19-Jul,200,78,2009
2009,212,35,19-Jul,200,82,2009
2009,213,40,19-Jul,200,89,2009
