Year,ID,sl,radius,Increment,IW,Final.Age,bcSL,bc_gr,hdate,hatch_DATE,hatch_DATE_noYear,age_DATE,age_DATE_noYear,HW
2007,750,47,333,8,1.248,98,5.184291203,0.165644615,104,4/14/2007,14-Apr,4/22/2007,22-Apr,pre
2007,751,40,256,8,1.176,88,5.613171139,0.171376006,114,4/24/2007,24-Apr,5/2/2007,2-May,pre
2007,752,48,315,8,1.667,111,6.08460414,0.239678401,91,4/1/2007,1-Apr,4/9/2007,9-Apr,pre
2007,753,43,310,8,1.629,100,5.314028179,0.211099394,102,4/12/2007,12-Apr,4/20/2007,20-Apr,pre
2007,756,43,295,8,1.058,106,5.819038658,0.144277692,96,4/6/2007,6-Apr,4/14/2007,14-Apr,pre
2007,757,46,287,8,0.883,96,4.948445267,0.133374504,106,4/16/2007,16-Apr,4/24/2007,24-Apr,pre
2007,758,44,272,8,1.623,104,5.507528164,0.246784628,98,4/8/2007,8-Apr,4/16/2007,16-Apr,pre
2007,759,42,271,8,1.019,82,5.354851953,0.147775558,120,4/30/2007,30-Apr,5/8/2007,8-May,pre
2007,760,41,265,8,1.96,88,5.668441184,0.283247869,114,4/24/2007,24-Apr,5/2/2007,2-May,pre
2007,761,44,265,8,1.042,96,5.22637878,0.162761455,106,4/16/2007,16-Apr,4/24/2007,24-Apr,pre
2007,762,41,280,8,1.585,93,5.704791005,0.216409378,109,4/19/2007,19-Apr,4/27/2007,27-Apr,pre
2007,763,40,299,8,1.328,88,5.177701394,0.164900414,114,4/24/2007,24-Apr,5/2/2007,2-May,pre
2007,764,40,282,8,1.512,91,5.33836762,0.199409432,111,4/21/2007,21-Apr,4/29/2007,29-Apr,pre
2007,765,41,280,8,1.175,82,5.330819215,0.160429665,120,4/30/2007,30-Apr,5/8/2007,8-May,pre
2007,766,47,350,8,0.87,111,4.825928091,0.109728464,91,4/1/2007,1-Apr,4/9/2007,9-Apr,pre
2007,767,40,265,8,1.322,96,5.104083023,0.185897817,106,4/16/2007,16-Apr,4/24/2007,24-Apr,pre
2007,768,45,310,8,1.18,97,5.352144851,0.160736573,105,4/15/2007,15-Apr,4/23/2007,23-Apr,pre
2007,769,45,310,8,1.083,108,5.139373218,0.147523482,94,4/4/2007,4-Apr,4/12/2007,12-Apr,pre
2007,770,42,253,8,1.168,101,5.425359434,0.181843328,101,4/11/2007,11-Apr,4/19/2007,19-Apr,pre
2007,771,48,338,8,0.821,108,5.076305953,0.109807318,94,4/4/2007,4-Apr,4/12/2007,12-Apr,pre
2007,772,44,298,8,1.151,99,5.093924095,0.159307618,103,4/13/2007,13-Apr,4/21/2007,21-Apr,pre
2007,773,44,295,8,1.457,94,5.880208597,0.203770623,108,4/18/2007,18-Apr,4/26/2007,26-Apr,pre
2007,774,41,264,8,1.829,94,5.848569539,0.265350204,108,4/18/2007,18-Apr,4/26/2007,26-Apr,pre
2007,775,43,292,8,1.556,101,5.365781383,0.214432925,101,4/11/2007,11-Apr,4/19/2007,19-Apr,pre
2007,745,49,366,9,0.913,118,5.353307335,0.115105894,84,3/25/2007,25-Mar,4/3/2007,3-Apr,pre
2007,746,46,360,9,1.384,99,5.044493682,0.16565815,103,4/13/2007,13-Apr,4/22/2007,22-Apr,pre
2007,747,48,360,9,1.751,98,5.868811412,0.219543636,104,4/14/2007,14-Apr,4/23/2007,23-Apr,pre
