,Dates,SplineFit
4908,6/24/2019,6.333385878
4909,6/25/2019,6.331757023
4910,6/26/2019,6.330281754
4911,6/27/2019,6.328951284
4912,6/28/2019,6.327756829
4913,6/29/2019,6.326689603
4914,6/30/2019,6.325740821
4915,7/1/2019,6.324901698
4916,7/2/2019,6.32416345
4917,7/3/2019,6.323517289
4918,7/4/2019,6.322954432
4919,7/5/2019,6.322466094
4920,7/6/2019,6.322043488
4921,7/7/2019,6.32167783
4922,7/8/2019,6.321360335
4923,7/9/2019,6.321082217
4924,7/10/2019,6.320834691
4925,7/11/2019,6.320608972
4926,7/12/2019,6.320396275
4927,7/13/2019,6.320187814
4928,7/14/2019,6.319974805
4929,7/15/2019,6.319748462
4930,7/16/2019,6.3195
4931,7/17/2019,6.319222022
4932,7/18/2019,6.318912683
4933,7/19/2019,6.318571529
4934,7/20/2019,6.318198101
4935,7/21/2019,6.317791945
4936,7/22/2019,6.317352604
4937,7/23/2019,6.316879623
4938,7/24/2019,6.316372544
4939,7/25/2019,6.315830913
4940,7/26/2019,6.315254273
4941,7/27/2019,6.314642167
4942,7/28/2019,6.313994141
4943,7/29/2019,6.313309736
4944,7/30/2019,6.312588499
4945,7/31/2019,6.311829972
4946,8/1/2019,6.311033699
4947,8/2/2019,6.310199225
4948,8/3/2019,6.309326093
4949,8/4/2019,6.308413847
4950,8/5/2019,6.307462032
4951,8/6/2019,6.30647019
4952,8/7/2019,6.305437866
4953,8/8/2019,6.304364604
4954,8/9/2019,6.303249947
4955,8/10/2019,6.30209344
4956,8/11/2019,6.300894627
4957,8/12/2019,6.299653051
4958,8/13/2019,6.298368256
4959,8/14/2019,6.297039787
4960,8/15/2019,6.295667187
4961,8/16/2019,6.29425
4962,8/17/2019,6.292790641
4963,8/18/2019,6.29130301
4964,8/19/2019,6.289803879
4965,8/20/2019,6.288310018
4966,8/21/2019,6.286838199
4967,8/22/2019,6.285405194
4968,8/23/2019,6.284027772
4969,8/24/2019,6.282722705
4970,8/25/2019,6.281506765
4971,8/26/2019,6.280396723
4972,8/27/2019,6.27940935
4973,8/28/2019,6.278561417
4974,8/29/2019,6.277869695
4975,8/30/2019,6.277350955
4976,8/31/2019,6.27702197
4977,9/1/2019,6.276899509
4978,9/2/2019,6.277000345
4979,9/3/2019,6.277341247
4980,9/4/2019,6.277938988
4981,9/5/2019,6.278810339
4982,9/6/2019,6.279972071
4983,9/7/2019,6.281440955
4984,9/8/2019,6.283233762
4985,9/9/2019,6.285367264
4986,9/10/2019,6.287858231
4987,9/11/2019,6.290723435
4988,9/12/2019,6.293979647
4989,9/13/2019,6.297643638
4990,9/14/2019,6.30173218
4991,9/15/2019,6.306262044
